Lambda,LambdaNm,Frecuencia,Voltaje
400,4.0000000000000003e-07,749999999999999.9,0.993
410,4.1000000000000004e-07,731707317073170.6,0.904
420,4.2e-07,714285714285714.2,0.836
430,4.3e-07,697674418604651.1,0.777
440,4.4e-07,681818181818181.8,0.735
450,4.5000000000000003e-07,666666666666666.6,0.679
460,4.6000000000000004e-07,652173913043478.2,0.628
470,4.7000000000000005e-07,638297872340425.5,0.583
480,4.800000000000001e-07,624999999999999.9,0.54
490,4.900000000000001e-07,612244897959183.6,0.494
500,5.000000000000001e-07,599999999999999.9,0.444
510,5.1e-07,588235294117647.1,0.406
520,5.2e-07,576923076923076.9,0.356
530,5.3e-07,566037735849056.6,0.311
540,5.4e-07,555555555555555.56,0.261
550,5.5e-07,545454545454545.44,0.219
560,5.6e-07,535714285714285.7,0.105
